frame,wall_clock_s,bt709_s,ours_s,rival_s
426,139.1845,nan,0.08127,0.22263
427,139.4770,nan,0.06009,0.21323
428,139.7785,nan,0.07091,0.21161
429,140.0750,nan,0.06683,0.21389
430,140.3771,nan,0.07546,0.21097
431,140.7181,nan,0.08452,0.22082
432,141.0070,nan,0.06362,0.20360
433,141.3130,nan,0.06180,0.22839
434,141.6008,nan,0.05924,0.21025
435,141.8793,nan,0.05601,0.20729
436,142.2188,nan,0.06351,0.22926
437,142.5199,nan,0.06920,0.21240
438,142.8131,nan,0.05839,0.21779
439,143.1042,nan,0.06490,0.20693
440,143.4324,nan,0.08687,0.22280
441,143.7518,nan,0.07255,0.21014
442,144.0715,nan,0.09205,0.21238
443,144.3787,nan,0.06459,0.22399
444,144.7238,nan,0.05928,0.26327
445,145.0855,nan,0.08020,0.26253
446,145.3913,nan,0.05601,0.21225
447,145.6977,nan,0.08021,0.21003
448,145.9914,nan,0.06295,0.20933
449,146.3309,nan,0.12404,0.19525
450,146.6286,nan,0.07022,0.20428
451,146.9646,nan,0.07626,0.22134
452,147.2647,nan,0.06734,0.21780
453,147.5698,nan,0.06881,0.21750
454,147.8685,nan,0.07876,0.20436
455,148.1447,nan,0.06457,0.19305
456,148.4604,nan,0.06682,0.20238
457,148.7482,nan,0.07608,0.19488
458,149.0571,nan,0.08013,0.21244
459,149.3589,nan,0.05815,0.22921
460,149.6594,nan,0.07143,0.21387
461,149.9717,nan,0.06728,0.21189
462,150.3141,nan,0.06907,0.25581
463,150.6454,nan,0.08945,0.22313
464,150.9476,nan,0.08112,0.19991
465,151.2424,nan,0.06750,0.20778
466,151.5546,nan,0.06936,0.20779
467,151.8591,nan,0.06470,0.22055
468,152.1784,nan,0.07304,0.22402
469,152.4935,nan,0.06473,0.23194
470,152.8236,nan,0.08185,0.22626
471,153.1469,nan,0.09026,0.19775
472,153.4288,nan,0.05722,0.20627
473,153.7438,nan,0.09002,0.20327
474,154.0352,nan,0.07002,0.20268
475,154.3182,nan,0.05629,0.20095
476,154.6381,nan,0.07111,0.20450
477,154.9705,nan,0.08636,0.22258
478,155.3262,nan,0.08085,0.22431
479,155.6452,nan,0.06738,0.23095
480,155.9737,nan,0.07929,0.23171
481,156.4096,nan,0.07697,0.31909
482,156.7052,nan,0.06624,0.21127
483,157.0721,nan,0.07523,0.27171
484,157.4004,nan,0.06981,0.24010
485,157.7178,nan,0.05901,0.23943
486,158.0439,nan,0.06133,0.22653
487,158.3682,nan,0.06546,0.24238
488,158.6997,nan,0.05373,0.26000
489,159.0412,nan,0.07502,0.24306
490,159.2813,nan,0.05818,0.16010
491,159.5684,nan,0.06329,0.18438
492,159.8272,nan,0.05969,0.17402
493,160.1634,nan,0.06690,0.25457
494,160.4844,nan,0.06378,0.24014
495,160.8973,nan,0.07740,0.32126
496,161.1445,nan,0.05610,0.15811
497,161.4440,nan,0.05953,0.21288
498,161.7573,nan,0.06134,0.23108
499,162.0964,nan,0.07135,0.24594
500,162.5475,nan,0.06532,0.36929
501,162.8811,nan,0.06664,0.22696
502,163.1382,nan,0.05977,0.18108
503,163.4811,nan,0.06001,0.25436
504,163.8189,nan,0.05542,0.25981
505,164.1949,nan,0.06569,0.29386
506,164.5461,nan,0.09102,0.21964
507,164.8638,nan,0.07538,0.22192
508,165.2407,nan,0.06514,0.29693
509,165.5817,nan,0.06651,0.22075
510,166.0013,nan,0.07616,0.32260
511,166.3450,nan,0.06316,0.24603
512,166.6987,nan,0.09183,0.23960
